"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
58;"management";"married";"tertiary";"no";2143;"yes";"no";"unknown";5;"may";261;1;-1;0;"unknown";"no"
44;"technician";"single";"secondary";"no";29;"yes";"no";"unknown";5;"may";151;1;-1;0;"unknown";"no"
33;"entrepreneur";"married";"secondary";"no";2;"yes";"yes";"unknown";5;"may";76;1;-1;0;"unknown";"no"
47;"blue-collar";"married";"unknown";"no";1506;"yes";"no";"unknown";5;"may";92;1;-1;0;"unknown";"no"
33;"unknown";"single";"unknown";"no";1;"no";"no";"unknown";5;"may";198;1;-1;0;"unknown";"no"
35;"management";"married";"tertiary";"no";231;"yes";"no";"unknown";5;"may";139;1;-1;0;"unknown";"no"
28;"management";"single";"tertiary";"no";447;"yes";"yes";"unknown";5;"may";217;1;-1;0;"unknown";"no"
42;"entrepreneur";"divorced";"tertiary";"yes";2;"yes";"no";"unknown";5;"may";380;1;-1;0;"unknown";"no"
58;"retired";"married";"primary";"no";121;"yes";"no";"unknown";5;"may";50;1;-1;0;"unknown";"no"
43;"technician";"single";"secondary";"no";593;"yes";"no";"unknown";5;"may";55;1;-1;0;"unknown";"no"
41;"admin.";"divorced";"secondary";"no";270;"yes";"no";"unknown";5;"may";222;1;-1;0;"unknown";"no"
29;"admin.";"single";"secondary";"no";390;"yes";"no";"unknown";5;"may";137;1;-1;0;"unknown";"no"
53;"technician";"married";"secondary";"no";6;"yes";"no";"unknown";5;"may";517;1;-1;0;"unknown";"no"
58;"technician";"married";"unknown";"no";71;"yes";"no";"unknown";5;"may";71;1;-1;0;"unknown";"no"
57;"services";"married";"secondary";"no";162;"yes";"no";"unknown";5;"may";174;1;-1;0;"unknown";"no"
51;"retired";"married";"primary";"no";229;"yes";"no";"unknown";5;"may";353;1;-1;0;"unknown";"no"
45;"admin.";"single";"unknown";"no";13;"yes";"no";"unknown";5;"may";98;1;-1;0;"unknown";"no"
57;"blue-collar";"married";"primary";"no";52;"yes";"no";"unknown";5;"may";38;1;-1;0;"unknown";"no"
60;"retired";"married";"primary";"no";60;"yes";"no";"unknown";5;"may";219;1;-1;0;"unknown";"no"
48;"entrepreneur";"single";"tertiary";"no";2313;"no";"no";"unknown";6;"jun";130;1;-1;0;"unknown";"no"
39;"blue-collar";"married";"secondary";"no";599;"yes";"no";"unknown";6;"jun";53;1;-1;0;"unknown";"no"
41;"blue-collar";"single";"secondary";"no";656;"no";"no";"unknown";6;"jun";178;1;-1;0;"unknown";"no"
36;"services";"married";"secondary";"no";1328;"yes";"no";"unknown";6;"jun";82;4;-1;0;"unknown";"no"
44;"management";"single";"secondary";"no";13;"no";"no";"unknown";6;"jun";116;11;-1;0;"unknown";"no"
32;"services";"married";"secondary";"no";21;"no";"no";"unknown";6;"jun";144;15;-1;0;"unknown";"no"
37;"services";"single";"secondary";"no";2571;"no";"no";"unknown";6;"jun";40;2;-1;0;"unknown";"no"
51;"management";"married";"tertiary";"no";12;"no";"no";"unknown";6;"jun";90;4;-1;0;"unknown";"no"
32;"blue-collar";"married";"primary";"no";1138;"yes";"yes";"unknown";6;"jun";164;4;-1;0;"unknown";"no"
41;"services";"married";"secondary";"no";-140;"no";"yes";"unknown";6;"jun";190;1;-1;0;"unknown";"no"
26;"management";"single";"secondary";"no";565;"yes";"no";"unknown";6;"jun";582;11;-1;0;"unknown";"no"
38;"blue-collar";"married";"secondary";"no";2836;"no";"no";"unknown";6;"jun";116;3;-1;0;"unknown";"no"
36;"housemaid";"married";"primary";"no";122;"no";"no";"unknown";6;"jun";78;1;-1;0;"unknown";"no"
39;"unknown";"single";"secondary";"no";0;"no";"no";"unknown";6;"jun";188;1;-1;0;"unknown";"no"
56;"services";"married";"primary";"no";444;"yes";"no";"unknown";6;"jun";432;1;-1;0;"unknown";"no"
